Total rows: 1676,,,
800 600,,,
1676,,,
mbr array constructed,,,
r,c,f,count
75,363,4,1
75,363,8,1
75,378,2,1
75,378,3,1
75,378,10,1
76,409,0,1
76,413,2,1
76,422,0,1
76,422,3,1
76,422,11,1
76,443,10,1
76,449,10,1
83,435,3,1
83,435,4,1
83,435,10,1
84,273,2,1
84,273,4,1
84,273,10,1
84,308,2,1
84,317,11,1
84,337,5,1
84,337,11,3
84,442,1,1
84,442,2,1
84,442,5,3
84,442,10,1
84,449,8,1
85,348,1,1
85,348,8,2
85,348,10,5
85,348,11,1
85,348,12,1
85,358,5,2
85,358,10,1
85,369,4,1
85,369,5,3
85,369,10,3
86,410,1,1
86,410,4,1
86,410,10,1
86,418,3,1
86,427,2,1
86,427,3,1
86,427,8,1
89,301,5,1
90,401,1,1
94,348,10,2
94,353,1,1
94,364,2,2
94,434,10,3
95,373,2,1
95,377,4,1
95,386,10,1
95,388,10,1
95,388,11,1
95,394,4,1
95,402,4,1
95,406,2,1
96,411,10,1
96,411,11,1
96,423,3,1
96,423,10,1
96,446,2,1
98,431,4,1
102,309,5,1
102,309,10,1
102,317,10,1
105,328,2,2
105,328,3,1
105,328,4,1
105,328,5,1
105,328,10,1
105,338,3,1
105,338,5,1
105,338,11,1
105,349,1,1
105,359,1,1
105,359,2,1
105,359,8,1
106,370,3,1
106,370,10,7
106,378,4,2
106,378,10,7
106,387,2,2
106,387,4,1
106,387,10,1
106,395,3,2
106,395,10,3
106,403,0,1
106,403,2,1
106,403,3,3
106,403,4,2
106,403,10,3
106,412,1,1
106,412,4,3
106,412,8,2
106,412,11,6
106,578,10,1
107,420,2,2
107,420,3,1
107,420,4,1
107,420,10,1
107,420,11,1
107,429,4,2
107,429,10,1
108,292,3,2
108,292,8,1
111,437,4,11
111,437,5,2
111,437,10,2
113,319,8,1
116,333,2,1
116,344,2,1
116,344,4,1
116,349,0,1
116,349,10,1
117,359,11,1
117,379,10,1
117,392,2,1
117,392,5,1
117,392,10,1
117,392,12,1
117,396,10,1
117,404,4,1
117,413,10,2
117,417,11,1
117,422,1,1
117,429,10,1
117,431,8,1
117,431,12,1
117,437,10,1
117,437,11,1
117,441,4,1
122,371,5,1
122,371,10,1
122,432,1,1
123,296,0,1
123,296,4,1
123,296,5,2
123,296,11,3
126,322,5,4
126,328,10,1
126,339,2,4
126,339,3,2
126,339,4,1
126,339,5,1
126,339,10,1
126,339,11,1
127,360,0,1
127,360,5,3
127,360,10,1
127,381,2,1
127,381,4,1
127,381,10,1
127,422,5,2
127,422,10,2
127,422,12,1
127,438,2,1
127,438,10,1
128,402,3,1
128,402,5,1
132,371,5,1
132,413,4,1
132,432,0,1
136,302,5,1
136,302,10,1
136,323,10,2
136,323,11,1
136,355,1,1
136,355,2,1
136,355,8,1
136,355,10,1
137,300,0,2
137,300,1,4
137,300,2,10
137,300,3,6
137,300,4,28
137,300,5,9
137,300,7,7
137,300,8,2
137,300,10,31
137,300,11,7
137,365,2,1
137,371,11,1
137,392,2,2
137,392,3,1
137,392,10,1
137,412,0,3
137,412,10,4
137,417,11,1
137,422,11,1
137,427,2,1
137,431,0,1
137,431,8,1
137,436,1,1
137,436,2,2
137,436,10,1
137,441,2,1
137,446,4,2
137,446,8,1
142,412,3,3
142,412,8,1
142,451,10,2
146,323,0,1
146,323,2,3
146,323,3,2
