8,18,10,(((587.962, 8067.36), (607.962, 8067.36), (607.962, 8047.36), (587.962, 8047.36), (587.962, 8067.36)))
8,18,11,(((587.962, 8067.36), (607.962, 8067.36), (607.962, 8047.36), (587.962, 8047.36), (587.962, 8067.36)))
8,40,13,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
8,40,14,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
8,40,17,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
8,18,2,(((6251.96, 9880.79), (6271.96, 9880.79), (6271.96, 9860.79), (6251.96, 9860.79), (6251.96, 9880.79)))
8,18,48,(((6251.96, 9880.79), (6271.96, 9880.79), (6271.96, 9860.79), (6251.96, 9860.79), (6251.96, 9880.79)))
8,21,38,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,21,40,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,24,8,(((741.182, 8066.08), (761.182, 8066.08), (761.182, 8046.08), (741.182, 8046.08), (741.182, 8066.08)))
8,24,9,(((741.182, 8066.08), (761.182, 8066.08), (761.182, 8046.08), (741.182, 8046.08), (741.182, 8066.08)))
8,24,20,(((741.182, 8066.08), (761.182, 8066.08), (761.182, 8046.08), (741.182, 8046.08), (741.182, 8066.08)))
8,31,38,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,31,40,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,40,15,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
8,40,21,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
8,40,45,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
8,42,38,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,42,40,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,10,12,(((6077.42, 14201), (6077.42, 14200.5), (6067.75, 14200.5), (6067.75, 14201), (6077.42, 14201)))
8,11,12,(((6067.75, 14201), (6087.75, 14201), (6087.75, 14181), (6067.75, 14181), (6067.75, 14201)))
8,12,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,16,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,18,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,21,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,32,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,36,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,37,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,40,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,44,41,(((3618.51, 14066.9), (3638.51, 14066.9), (3638.51, 14046.9), (3618.51, 14046.9), (3618.51, 14066.9)))
8,13,26,(((7131.68, 9847.7), (7151.68, 9847.7), (7151.68, 9827.7), (7131.68, 9827.7), (7131.68, 9847.7)))
8,17,39,(((1004.01, 9677.98), (1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98)))
8,26,15,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
8,26,21,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
8,26,45,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
8,27,24,(((3161.72, 14488.6), (3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6)))
8,27,35,(((3161.72, 14488.6), (3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6)))
8,40,13,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
8,40,14,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
8,40,17,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
8,0,39,(((1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98), (1024.01, 9677.98)))
8,0,26,(((7151.68, 9847.7), (7151.68, 9827.7), (7131.68, 9827.7), (7131.68, 9847.7), (7151.68, 9847.7)))
8,3,39,(((1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98), (1024.01, 9677.98)))
8,5,24,(((3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6), (3181.72, 14488.6)))
8,5,35,(((3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6), (3181.72, 14488.6)))
8,7,39,(((1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98), (1024.01, 9677.98)))
8,2,13,(((3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1), (3614.99, 12824.1)))
8,2,14,(((3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1), (3614.99, 12824.1)))
8,2,17,(((3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1), (3614.99, 12824.1)))
8,2,15,(((6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9), (6581.84, 13388.9)))
8,2,21,(((6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9), (6581.84, 13388.9)))
8,2,45,(((6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9), (6581.84, 13388.9)))
9,6,27,(((6029.3, 5099.41), (6049.3, 5099.41), (6049.3, 5079.41), (6029.3, 5079.41), (6029.3, 5099.41)))
9,16,27,(((6029.3, 5099.41), (6049.3, 5099.41), (6049.3, 5079.41), (6029.3, 5079.41), (6029.3, 5099.41)))
9,19,42,(((952.363, 9475.59), (972.363, 9475.59), (972.363, 9455.59), (952.363, 9455.59), (952.363, 9475.59)))
9,24,9,(((8208.82, 7935.4), (8228.82, 7935.4), (8228.82, 7915.4), (8208.82, 7915.4), (8208.82, 7935.4)))
9,44,36,(((4433.4, 2076.74), (4453.4, 2076.74), (4453.4, 2056.74), (4433.4, 2056.74), (4433.4, 2076.74)))
9,7,36,(((4433.4, 2076.74), (4453.4, 2076.74), (4453.4, 2056.74), (4433.4, 2056.74), (4433.4, 2076.74)))
9,26,24,(((4382.32, 8858.67), (4402.32, 8858.67), (4402.32, 8838.67), (4382.32, 8838.67), (4382.32, 8858.67)))
9,6,36,(((4433.4, 2076.74), (4453.4, 2076.74), (4453.4, 2056.74), (4433.4, 2056.74), (4433.4, 2076.74)))
9,20,40,(((581.649, 13247.6), (601.649, 13247.6), (601.649, 13227.6), (581.649, 13227.6), (581.649, 13247.6)))
9,21,9,(((8208.82, 7935.4), (8228.82, 7935.4), (8228.82, 7915.4), (8208.82, 7915.4), (8208.82, 7935.4)))
9,37,18,(((8061.34, 8319.81), (8081.34, 8319.81), (8081.34, 8299.81), (8061.34, 8299.81), (8061.34, 8319.81)))
9,44,6,(((32.4656, 8170.46), (52.4656, 8170.46), (52.4656, 8150.46), (32.4656, 8150.46), (32.4656, 8170.46)))
